part_no,name,package,trade,material,process,finish,qty,stock_mass_kg,drawing,provenance
NW-MH-001,RA (polar) axis housing,BP-01,CNC machining (6061-T6 aluminium),6061-T6 aluminium plate per ASTM B209 / AMS-QQ-A-250/11,"CNC mill, 3-axis","Type III hardcoat anodize, 0.002 in, per MIL-A-8625F Class 1 (clear)",1,8.50,Y,Outer/wall/depth = P.RA_HOUSING (SOURCED); bearing seat=7008 remediation; flange PCD DERIVED ~1.3x bore.
NW-MH-002,DEC axis housing + Losmandy-D saddle,BP-01,CNC machining (6061-T6 aluminium),6061-T6 aluminium plate per ASTM B209 / AMS-QQ-A-250/11,"CNC mill, 3-axis","Type III hardcoat anodize, 0.002 in, per MIL-A-8625F Class 1 (clear)",1,3.98,Y,Outer/wall/depth = P.DEC_HOUSING (SOURCED); saddle = Losmandy-D ASSUMED std; bearing seat=7006 remediation.
NW-MH-003,DEC saddle clamp bar,BP-01,CNC machining (6061-T6 aluminium),6061-T6 aluminium plate per ASTM B209 / AMS-QQ-A-250/11,"CNC mill, 3-axis","Type III hardcoat anodize, 0.002 in, per MIL-A-8625F Class 1 (clear)",1,0.53,Y,ASSUMED design-intent — Losmandy-D clamp not dimensioned in repo.
NW-TP-001,Counterweight shaft,BP-02,CNC / manual turning (303 stainless),303 stainless per ASTM A582,CNC turn,Passivate per ASTM A967 (nitric),1,2.90,Y,Dia/length = P.COUNTERWEIGHTS (SOURCED).
NW-TP-002,RA drive spindle / drawbar adapter,BP-02,CNC / manual turning (303 stainless),303 stainless per ASTM A582,CNC turn + mill,Passivate per ASTM A967 (nitric),1,5.05,Y,Journal = 7008 bore (remediation); CSF-32 register = P.RA_DRIVE.bore_m (SOURCED). Body dia ASSUMED.
NW-TP-003,DEC drive spindle / saddle stub,BP-02,CNC / manual turning (303 stainless),303 stainless per ASTM A582,CNC turn + mill,Passivate per ASTM A967 (nitric),1,3.24,Y,Journal = 7006 bore (remediation); CSF-25 register = P.DEC_DRIVE.bore_m (SOURCED). Body dia ASSUMED.
NW-PF-001,Reinforced-concrete telescope pier,BP-03,Reinforced concrete + structural steel,Cast-in-place concrete f'c = 4000 psi (27.6 MPa) per ACI 318 / ACI 301,Cast-in-place,none,1,320.26,Y,Ø/height/embed/f'c = P.PIER (SOURCED); rebar schedule ASSUMED design-intent (PE to confirm).
NW-PF-002,Pier top plate,BP-03,Reinforced concrete + structural steel,ASTM A36 structural steel,Laser/waterjet cut + drill,Hot-dip galvanize per ASTM A123,1,6.94,Y,Side/thickness = P.PIER (SOURCED); hole pattern DERIVED.
NW-PF-003,Pier-to-mount adapter plate,BP-03,Reinforced concrete + structural steel,6061-T6 aluminium per ASTM B209,CNC mill,"Type III hardcoat anodize, 0.002 in, per MIL-A-8625F Class 1 (clear)",1,3.32,Y,ASSUMED design-intent — adapter geometry not in repo (bridges 12x12 plate to 8x8 housing).
NW-PF-004,Anchor-bolt set + template,BP-03,Reinforced concrete + structural steel,ASTM F1554 Gr36 galvanized,Purchase + fabricate template,Hot-dip galvanize per ASTM A123,1,,Y,ASSUMED design-intent per ACI 318 Ch.17 (PE to size for wind/seismic uplift ~9.2 kN).
NW-RR-001,Roof frame perimeter (HSS),BP-04,Structural steel fab + rail/drive install,ASTM A500 Gr B HSS (steel),Cut + weld (AWS D1.1),Hot-dip galvanize per ASTM A123,4,56.98,Y,Roof span/length = P.ENCLOSURE (ASSUMED footprint); 4 perimeter members; size ASSUMED design-intent.
NW-RR-002,Roof rafters / purlins,BP-04,Structural steel fab + rail/drive install,ASTM A500 Gr B HSS (steel),Cut + weld (AWS D1.1),Hot-dip galvanize per ASTM A123,5,52.23,Y,ASSUMED design-intent (5 purlins @ ~600 mm).
NW-RR-003,Track rail beams (box track),BP-04,Structural steel fab + rail/drive install,ASTM A36 structural steel,Cut + weld / bolt to piers,Hot-dip galvanize per ASTM A123,2,89.68,Y,ASSUMED design-intent — rail run = 2x roof length so the roof fully clears the aperture.
NW-RR-004,Wheel axle brackets,BP-04,Structural steel fab + rail/drive install,ASTM A36 structural steel,Laser cut + weld,Hot-dip galvanize per ASTM A123,8,4.63,Y,ASSUMED design-intent — 8 wheels (4 per side).
NW-RR-005,Drive bracket + end stops,BP-04,Structural steel fab + rail/drive install,ASTM A36 structural steel,Laser cut + weld,Hot-dip galvanize per ASTM A123,4,4.49,Y,ASSUMED design-intent — drive = gate operator sized for 180 kg (enclosure proof: 235 N move force).
NW-RR-006,Wind hold-down anchor brackets,BP-04,Structural steel fab + rail/drive install,ASTM A36 structural steel,Laser cut + weld,Hot-dip galvanize per ASTM A123,4,5.15,Y,"REMEDIATION — wind proof: survival uplift 9.2 kN, 4 x 2 klbf anchors -> SF 3.9."
NW-CO-001,"Harmonic drive, RA (CSF-32-100-2A-GR)",BP-05,Purchase (buy-to-print / off-the-shelf),Harmonic Drive LLC,purchase,n-a,1,,N,P.RA_DRIVE (SOURCED).
NW-CO-002,"Harmonic drive, DEC (CSF-25-80-2A-GR)",BP-05,Purchase (buy-to-print / off-the-shelf),Harmonic Drive LLC,purchase,n-a,1,,N,P.DEC_DRIVE (SOURCED).
NW-CO-003,Angular-contact bearing 7008 (RA pair),BP-05,Purchase (buy-to-print / off-the-shelf),"ABEC-7, back-to-back (DB)",purchase,n-a,2,,N,REMEDIATION of deep-groove 6008 (stiffness proof: bearings were 98% of the 43.5 arcsec FAIL).
NW-CO-004,Angular-contact bearing 7006 (DEC pair),BP-05,Purchase (buy-to-print / off-the-shelf),"ABEC-7, back-to-back (DB)",purchase,n-a,2,,N,REMEDIATION of deep-groove 6006.
NW-CO-005,On-axis absolute encoder (RA + DEC),BP-05,Purchase (buy-to-print / off-the-shelf),"Absolute ring/BiSS-C, sub-arcsec",purchase,n-a,2,,N,REMEDIATION — encoder proof: baseline 5.02 arcsec RMS FAIL; on-axis ring reaches 0.54 arcsec.
NW-CO-006,Stepper motor NEMA17 + 27:1 planetary,BP-05,Purchase (buy-to-print / off-the-shelf),NEMA17 1.8deg + gearhead,purchase,n-a,2,,N,P.MOTOR (SOURCED).
NW-CO-007,Motor driver (TMC5160) / OnStepX board,BP-05,Purchase (buy-to-print / off-the-shelf),Trinamic TMC5160,purchase,n-a,2,,N,P.MOTOR (SOURCED).
NW-CO-008,Temperature-compensated focuser,BP-05,Purchase (buy-to-print / off-the-shelf),e.g. motorised absolute focuser,purchase,n-a,1,,N,REMEDIATION — thermal proof: passive focus walks ~10x depth-of-focus over 22 K swing.
NW-CO-009,"Counterweights (5 kg x2, 2.5 kg x1)",BP-05,Purchase (buy-to-print / off-the-shelf),Cast iron,purchase,n-a,3,,N,P.COUNTERWEIGHTS (SOURCED).
NW-CO-010,V-groove track wheels,BP-05,Purchase (buy-to-print / off-the-shelf),"Steel V-groove, ~4 in",purchase,n-a,8,,N,ASSUMED design-intent (BP-04 rail).
NW-CO-011,Roof drive (gate operator),BP-05,Purchase (buy-to-print / off-the-shelf),Sliding-gate operator / rack,purchase,n-a,1,,N,"ASSUMED design-intent — enclosure proof: 235 N move force, SF 2.1 vs ~500 N drive."
NW-CO-012,Metal roofing panel + flashing,BP-05,Purchase (buy-to-print / off-the-shelf),Standing-seam / corrugated steel,purchase,n-a,1,,N,ASSUMED design-intent (roof cladding).
NW-CO-013,48 V LiFePO4 battery pack + solar,BP-05,Purchase (buy-to-print / off-the-shelf),"48 V pack, ~5 kWh",purchase,n-a,1,,N,REMEDIATION — power proof: 12 V pack gives 3.3 h vs 10 h night; 48 V gives 13.4 h.
NW-CO-014,"Fastener schedule (SHCS, anchors)",BP-05,Purchase (buy-to-print / off-the-shelf),ASTM A574 SHCS / ASTM F1554 anchors,purchase,n-a,1,,N,ASSUMED design-intent.
