part_no,name,package,supplier_class,qty,key_specs,provenance,notes
NW-PF-004,Anchor-bolt set + template,BP-03,ASTM F1554 Gr36 galvanized,1,Bolt dia=19.05; Embedment=304.8; Projection=50.0; Count=4; Template=0.25 in plywood/ply-steel,ASSUMED design-intent per ACI 318 Ch.17 (PE to size for wind/seismic uplift ~9.2 kN).,Cast into pier via template. Sizing tied to the wind proof roof/pier uplift — PE to confirm.
NW-CO-001,"Harmonic drive, RA (CSF-32-100-2A-GR)",BP-05,Harmonic Drive LLC,1,Ratio=100; Rated torque (Nm)=127; Peak (Nm)=343; Bore (mm)=80.0,P.RA_DRIVE (SOURCED).,"Strain-wave gear, RA axis."
NW-CO-002,"Harmonic drive, DEC (CSF-25-80-2A-GR)",BP-05,Harmonic Drive LLC,1,Ratio=80; Rated torque (Nm)=70; Peak (Nm)=186; Bore (mm)=64.0,P.DEC_DRIVE (SOURCED).,"Strain-wave gear, DEC axis."
NW-CO-003,Angular-contact bearing 7008 (RA pair),BP-05,"ABEC-7, back-to-back (DB)",2,Bore (mm)=40; OD (mm)=68; Arrangement=DB back-to-back,REMEDIATION of deep-groove 6008 (stiffness proof: bearings were 98% of the 43.5 arcsec FAIL).,Preloaded pair for MOMENT stiffness. Replaces 6008.
NW-CO-004,Angular-contact bearing 7006 (DEC pair),BP-05,"ABEC-7, back-to-back (DB)",2,Bore (mm)=30; OD (mm)=55; Arrangement=DB back-to-back,REMEDIATION of deep-groove 6006.,"Preloaded pair, DEC axis. Replaces 6006."
NW-CO-005,On-axis absolute encoder (RA + DEC),BP-05,"Absolute ring/BiSS-C, sub-arcsec",2,Resolution (arcsec)=<1; Interface=BiSS-C / SSI,REMEDIATION — encoder proof: baseline 5.02 arcsec RMS FAIL; on-axis ring reaches 0.54 arcsec.,MANDATORY for sub-arcsecond. Closes the loop on the axis (corrects harmonic PE).
NW-CO-006,Stepper motor NEMA17 + 27:1 planetary,BP-05,NEMA17 1.8deg + gearhead,2,Step (deg)=1.8; Planetary ratio=27,P.MOTOR (SOURCED).,One per axis.
NW-CO-007,Motor driver (TMC5160) / OnStepX board,BP-05,Trinamic TMC5160,2,Irun (A)=1.5; Igoto (A)=2.0,P.MOTOR (SOURCED).,Microstepping driver.
NW-CO-008,Temperature-compensated focuser,BP-05,e.g. motorised absolute focuser,1,Temp coeff=-2.5 steps/degC,REMEDIATION — thermal proof: passive focus walks ~10x depth-of-focus over 22 K swing.,Compensates the aluminium-tube focus drift.
NW-CO-009,"Counterweights (5 kg x2, 2.5 kg x1)",BP-05,Cast iron,3,Total (kg)=12.5,P.COUNTERWEIGHTS (SOURCED).,OPTIONAL — counterweight-FREE build omits these (torque proof).
NW-CO-010,V-groove track wheels,BP-05,"Steel V-groove, ~4 in",8,Dia (in)=4; Rated (kg each)=>=150,ASSUMED design-intent (BP-04 rail).,8 wheels for the roll-off roof (4 per side).
NW-CO-011,Roof drive (gate operator),BP-05,Sliding-gate operator / rack,1,Move force (N)=235; Drive=rack-and-pinion / chain,"ASSUMED design-intent — enclosure proof: 235 N move force, SF 2.1 vs ~500 N drive.",Sized for 180 kg roof + 35 mph gust. Fail-safe + wind interlock.
NW-CO-012,Metal roofing panel + flashing,BP-05,Standing-seam / corrugated steel,1,Area (m2)=9.0,ASSUMED design-intent (roof cladding).,Weatherproof skin + ridge/edge flashing + gaskets.
NW-CO-013,48 V LiFePO4 battery pack + solar,BP-05,"48 V pack, ~5 kWh",1,Bus (V)=48; Autonomy (h)=13.4,REMEDIATION — power proof: 12 V pack gives 3.3 h vs 10 h night; 48 V gives 13.4 h.,For off-grid autonomy (v2). v1 may run grid + UPS.
NW-CO-014,"Fastener schedule (SHCS, anchors)",BP-05,ASTM A574 SHCS / ASTM F1554 anchors,1,"Grades=A574 (SHCS), F1554 Gr36 (anchors)",ASSUMED design-intent.,Consolidated fastener BOM — see cut list / fastener schedule.
