part_no,name,package,material,stock_form,stock_size (mm / in),qty,cut_allowance_mm,stock_mass_kg,finish,notes
NW-MH-001,RA (polar) axis housing,BP-01,6061-T6 aluminium plate per ASTM B209 / AMS-QQ-A-250/11,plate,plate 203.2 mm (8.000 in) x 203.2 mm (8.000 in) x 76.2 mm (3.000 in),1,3.0,8.50,"Type III hardcoat anodize, 0.002 in, per MIL-A-8625F Class 1 (clear)",Bearing seat sized for angular-contact 7008 (remediation of 6008). Pocket-lighten at bidder's option; keep bore/flange datums.
NW-MH-002,DEC axis housing + Losmandy-D saddle,BP-01,6061-T6 aluminium plate per ASTM B209 / AMS-QQ-A-250/11,plate,plate 152.4 mm (6.000 in) x 152.4 mm (6.000 in) x 63.5 mm (2.500 in),1,3.0,3.98,"Type III hardcoat anodize, 0.002 in, per MIL-A-8625F Class 1 (clear)",Integral Losmandy-D dovetail saddle. Bearing seat sized for angular-contact 7006.
NW-MH-003,DEC saddle clamp bar,BP-01,6061-T6 aluminium plate per ASTM B209 / AMS-QQ-A-250/11,plate,plate 101.6 mm (4.000 in) x 76.2 mm (3.000 in) x 25.4 mm (1.000 in),1,3.0,0.53,"Type III hardcoat anodize, 0.002 in, per MIL-A-8625F Class 1 (clear)",Pairs with NW-MH-002 saddle to clamp the OTA dovetail.
NW-TP-001,Counterweight shaft,BP-02,303 stainless per ASTM A582,round,round bar Ø31.8 mm (1.250 in) x 457.2 mm (18.000 in),1,3.0,2.90,Passivate per ASTM A967 (nitric),Counterweight-FREE build makes this OPTIONAL (see BP-00 / trade study). Include only if counterweighted variant is bid.
NW-TP-002,RA drive spindle / drawbar adapter,BP-02,303 stainless per ASTM A582,round,round bar Ø88.9 mm (3.500 in) x 101.6 mm (4.000 in),1,3.0,5.05,Passivate per ASTM A967 (nitric),Couples the CSF-32 output to the RA axis; carries the inner race of the 7008 pair.
NW-TP-003,DEC drive spindle / saddle stub,BP-02,303 stainless per ASTM A582,round,round bar Ø76.2 mm (3.000 in) x 88.9 mm (3.500 in),1,3.0,3.24,Passivate per ASTM A967 (nitric),Couples the CSF-25 output to the DEC axis / saddle side.
NW-PF-001,Reinforced-concrete telescope pier,BP-03,Cast-in-place concrete f'c = 4000 psi (27.6 MPa) per ACI 318 / ACI 301,round,round bar Ø304.8 mm (12.000 in) x 1828.8 mm (72.000 in),1,3.0,320.26,none,ISOLATED from any building slab (vibration). Embedment>frost line. Rebar cage + anchor template cast integrally. REQUIRES PE STAMP.
NW-PF-002,Pier top plate,BP-03,ASTM A36 structural steel,plate,plate 304.8 mm (12.000 in) x 304.8 mm (12.000 in) x 9.5 mm (0.375 in),1,3.0,6.94,Hot-dip galvanize per ASTM A123,Grouted onto the pier over the cast-in anchor bolts.
NW-PF-003,Pier-to-mount adapter plate,BP-03,6061-T6 aluminium per ASTM B209,plate,plate 254.0 mm (10.000 in) x 254.0 mm (10.000 in) x 19.1 mm (0.750 in),1,3.0,3.32,"Type III hardcoat anodize, 0.002 in, per MIL-A-8625F Class 1 (clear)","Levels/orients the RA axis to site latitude 38.9 deg (wedge or shim set, bidder to detail)."
NW-RR-001,Roof frame perimeter (HSS),BP-04,ASTM A500 Gr B HSS (steel),hss,HSS 50.8 mm (2.000 in) sq x 3.2 mm (0.125 in) wall x 3000.0 mm (118.110 in),4,3.0,56.98,Hot-dip galvanize per ASTM A123,Rectangular roll-off roof frame (4 perimeter members). Sizing to be confirmed vs ASCE 7 snow/wind by PE.
NW-RR-002,Roof rafters / purlins,BP-04,ASTM A500 Gr B HSS (steel),hss,HSS 38.1 mm (1.500 in) sq x 3.2 mm (0.125 in) wall x 3000.0 mm (118.110 in),5,3.0,52.23,Hot-dip galvanize per ASTM A123,"Carries the metal roofing panel + snow load (10.8 kN closed-roof snow case, see enclosure proof)."
NW-RR-003,Track rail beams (box track),BP-04,ASTM A36 structural steel,hss,HSS 63.5 mm (2.500 in) sq x 4.0 mm (0.157 in) wall x 6000.0 mm (236.220 in),2,3.0,89.68,Hot-dip galvanize per ASTM A123,Roof travels its own length off the building. Rail brand/section = COTS (BP-05). End stops required.
NW-RR-004,Wheel axle brackets,BP-04,ASTM A36 structural steel,plate,plate 101.6 mm (4.000 in) x 76.2 mm (3.000 in) x 9.5 mm (0.375 in),8,3.0,4.63,Hot-dip galvanize per ASTM A123,Carry the COTS V-groove wheels (BP-05). Roof 180 kg + snow -> size wheels for >=4x.
NW-RR-005,Drive bracket + end stops,BP-04,ASTM A36 structural steel,plate,plate 150.0 mm (5.906 in) x 100.0 mm (3.937 in) x 9.5 mm (0.375 in),4,3.0,4.49,Hot-dip galvanize per ASTM A123,Mounts the COTS drive (BP-05) and hard end stops. Wind-during-motion limit per enclosure proof.
NW-RR-006,Wind hold-down anchor brackets,BP-04,ASTM A36 structural steel,plate,plate 127.0 mm (5.000 in) x 101.6 mm (4.000 in) x 12.7 mm (0.500 in),4,3.0,5.15,Hot-dip galvanize per ASTM A123,MANDATORY. Clamp the roof/building against 105 mph survival uplift. Interlocked with the drive.
